code	Company	Name	Email	Phone	Address	City	State	Postal Code	Country	Vat No	CF 1	CF 2	CF 3	CF 4	CF 5	CF 6
K01	CHHAY SOPHEAP	CHHAY SOPHEAP		092948080/098767606	No 90A  St.271 Toekthla Sensok Phnom Penh  Cambodia.											
K02	HENG SOTHEA	HENG SOTHEA														
K03	????? ?????	????? ?????														
C01	ALEX CEMENT	ALEX CEMENT														
C02	HENG KHEANGHAK	HENG KHEANGHAK														
C03	KHEMRARA	KHEMRARA														
C04	SUN DARA	SUN DARA														
C05	??? ????-???&???????	??? ????-???&???????		017 593 222	#137B Mao Tse Tung Blvd 											
H01	???	???														
H02	??????	??????														
H03	COMBO CLEANING	COMBO CLEANING														
K04	CAMBODIA MOBILE CRANCE	CAMBODIA MOBILE CRANCE														
P01	CGA PRINTING	CGA PRINTING														
P02	RAKSMEY VICHET	RAKSMEY VICHET														
P03	SPR ADVERTISING	SPR ADVERTISING														
P04	MEANCHEY PRINTING	MEANCHEY PRINTING														
D01	SIGNATURE	SIGNATURE														
D02	SOK RESMEY	SOK RESMEY														
D03	??? ???	??? ???														
D04	??? ???	??? ???														
E01	COLBEN ENERGY	COLBEN ENERGY														
E02	ELECTRICITE DU CAMBODGE	ELECTRICITE DU CAMBODGE		023883341/023883646	Obekhaom St.271 Tuok Kork 											
E03	ELECTRICITIE DE KAMPOT	ELECTRICITIE DE KAMPOT		336211115	No 33 Kampong Kandal Kampot City 											
E04	ELECTRICITY OF KAMPONG SPEU	ELECTRICITY OF KAMPONG SPEU		16877330	Kampong Speu											
E30	PHNOM PENH SEZ	PHNOM PENH SEZ														
E31	PHNOM PENH WATER SUPPLY	PHNOM PENH WATER SUPPLY														
Y01	KE KELIT	KE KELIT														
Y02	OBT COMPANY	OBT COMPANY														
Y03	??? ???	??? ???														
Y30	HIGHPLAS	HIGHPLAS														
Y31	KAP	KAP														
Y32	RITH LEAKHENA	RITH LEAKHENA														
Y33	??? ????????????	??? ????????????		012533964/010900459	St.351 Boeung KokI Toul Kork											
V01	MEY SAMBATH	MEY SAMBATH														
V02	SUB-HENG SAMAN	SUB-HENG SAMAN		012834981/016834981	Chakangrae Krom Meanchay 											
V03	STEEL FORMER	STEEL FORMER														
T01	ICE COMPUTER	ICE COMPUTER		23358787	No  246E0E1 Preah Monivong											
